epoch,loss
0,0.5043439148073523
1,0.4198489822128899
2,0.4052283827565674
3,0.40032274689939285
4,0.397465834632898
5,0.39480574518187433
6,0.39194378664350915
7,0.38907128903600907
8,0.38850517481820196
9,0.3855616776352255
10,0.3818424881523491
11,0.3805830015076531
12,0.37918365294607276
13,0.37921295563379925
14,0.37723357988218975
15,0.37577838546190506
16,0.37501005064218473
17,0.3753742992113798
18,0.3752537341708811
19,0.37409555975698
20,0.37456070638110495
21,0.3734126568604738
22,0.3725163573637987
23,0.37015425025397897
24,0.37109287961935383
25,0.3719905332112924
26,0.3709658743479313
27,0.36979985339009863
28,0.368444913218164
29,0.3727135876050362
30,0.3685098852102573
31,0.36660535951964873
32,0.3699358259765511
33,0.3674491492346821
34,0.3675134002398222
35,0.36782169673177934
36,0.367262169591382
37,0.36429467555294687
38,0.365614326336445
39,0.3653075717962705
40,0.3675941830007439
41,0.36391016968295103
42,0.3667591845887339
43,0.36552336582770717
44,0.366859431959625
45,0.36599979161197305
46,0.36371100139923584
47,0.36588469860900164
48,0.36504386288997454
49,0.36425316830476123
50,0.36502274272278845
51,0.3617696586327675
52,0.3612710215851792
53,0.361464918551282
54,0.3589891214401294
55,0.3599594985572701
56,0.3636373686484801
57,0.36133980814717775
58,0.36113870424083155
59,0.3611645316466307
60,0.3632137184469109
61,0.36140973458432746
62,0.3626993196642297
63,0.3602829629029983
64,0.3593145937491686
65,0.3601498717171514
66,0.3606338448758818
67,0.35894775174112403
68,0.3573981506956948
69,0.3592540195100328
70,0.3595826090910496
71,0.36037277844217086
72,0.3596398676307792
73,0.36009001986593264
74,0.3590392247479186
75,0.358333988322152
76,0.3563602831628587
77,0.3600881197768399
78,0.3603125678168403
79,0.36094351494923615
80,0.3577598278593813
81,0.3619586979476815
82,0.3615040939587813
83,0.35612824011562216
84,0.3574942819073669
85,0.35753942414736134
86,0.36018596589565277
87,0.35762840420262426
88,0.3596925902315694
89,0.3596354279762659
90,0.36045983815804505
91,0.35667126555728096
92,0.3560578723748525
93,0.3556423149047754
94,0.3618854586130533
95,0.3576955071881286
96,0.3573477340814395
97,0.3585906577670676
98,0.35575470506635487
99,0.3573664333830532
