class_idx,class_name,fidelity,diversity
0,0,0.875,18.289945602416992
1,1,1.0,11.253395080566406
2,2,0.625,14.250866889953613
3,3,0.9375,18.23234748840332
4,4,0.90625,16.834035873413086
5,5,1.0,15.425769805908203
6,6,0.96875,17.05462646484375
7,7,0.96875,18.11206817626953
8,8,1.0,13.622383117675781
9,9,0.90625,16.455263137817383
