guidance_scale,mean_fidelity,mean_diversity
0.0,0.10625,17.5493745803833
1.0,0.9375,15.519729232788086
2.0,0.996875,15.507902908325196
4.0,0.8125,14.93620491027832
7.0,0.378125,15.625563621520996
10.0,0.14375,15.329326629638672
