latent_dim,train_recon,train_kl,test_recon,prior_sample_diversity
2,131.2314877795358,6.249680944997022,132.53953090820312,12.46294116973877
4,95.03872918675088,10.534827774406498,95.2734673828125,15.436726570129395
8,55.6540499711648,18.120299486013558,56.429515765380856,16.55213737487793
16,34.974371074611305,27.11528707977034,33.965186111450194,17.479585647583008
32,30.392021126217312,31.7945237159729,30.18474730529785,16.421464920043945
64,30.581699607718704,32.05086818515745,30.610211834716797,16.411922454833984
