n_steps,wall_time_s,fidelity
5,0.10969257354736328,0.96875
10,0.08625435829162598,0.984375
20,0.1846146583557129,0.984375
50,0.45757532119750977,0.984375
100,0.9706718921661377,0.734375
250,2.045393228530884,0.59375
